date,open,high,low,close,volume
2020-07-28,83900,83900,82700,83100,4538720
2020-07-29,82900,83800,82600,83200,3719681
2020-07-30,83300,86400,83000,85300,6870841
2020-07-31,85700,86000,82800,82800,4848989
2020-08-03,82400,82600,81500,81800,3483106
2020-08-04,81800,82500,81400,81600,3005937
2020-08-05,81200,81300,80500,80700,4537005
2020-08-06,80700,81900,80700,81100,3391939
2020-08-07,81200,81300,80000,80600,4946631
2020-08-10,80100,81900,79800,81400,3277238
2020-08-11,81700,82000,81000,81300,3234013
2020-08-12,81100,81300,80200,81000,3595828
2020-08-13,81900,82000,80300,80700,4049387
2020-08-14,80200,81100,80100,80200,2589552
2020-08-18,80000,80200,78000,78100,4946279
2020-08-19,77300,78000,75000,75000,8028305
2020-08-20,74400,74400,71300,71800,7260223
2020-08-21,72800,77000,72500,74500,7700029
2020-08-24,74600,77200,73700,75500,4298619
2020-08-25,76300,77700,75400,77000,3473488
2020-08-26,78000,79100,77100,78800,4741965
2020-08-27,80200,80200,78800,79100,4223450
2020-08-28,79500,79600,77700,77800,2511956
2020-08-31,78200,78800,75100,75100,5113128
2020-09-01,75200,76500,75200,75200,2538676
2020-09-02,75900,76400,74900,75500,2369360
2020-09-03,77700,79700,77200,78700,7002529
2020-09-04,76400,79400,76100,78700,4582566
2020-09-07,78600,79500,77600,78400,2786930
2020-09-08,78700,80000,78200,79400,3380355
2020-09-09,77900,78400,77200,77300,3918435
2020-09-10,78000,78200,76600,76600,3541520
2020-09-11,76700,78500,76300,78400,2831262
2020-09-14,79100,80100,78900,80000,4099644
2020-09-15,81300,82100,80200,81900,5899410
2020-09-16,81700,82400,80500,81500,3119110
2020-09-17,81900,82900,81200,82200,4055050
2020-09-18,82900,83900,82200,83700,5199334
2020-09-21,83700,85000,83600,84500,4102947
2020-09-22,84400,84800,80200,81300,4139983
2020-09-23,82300,84800,80500,83600,4439085
2020-09-24,82800,85400,82300,84300,6401560
2020-09-25,85800,85900,82200,82900,3205596
2020-09-28,83400,83700,81300,82500,3154068
2020-09-29,83100,84900,82200,84000,4707898
2020-10-05,83000,84100,82300,83200,3396894
2020-10-06,84000,84200,82600,83000,2750145
2020-10-07,82900,83700,82500,83400,2254356
2020-10-08,84300,84500,82900,82900,3330824
2020-10-12,83900,85500,83500,85500,4464264
2020-10-13,85500,89000,84600,88200,6375448
2020-10-14,88000,88900,86100,86500,3223767
2020-10-15,86100,87300,85900,87100,2802900
2020-10-16,87000,87900,84900,85300,2435541
2020-10-19,86100,87900,85800,86700,3150011
2020-10-20,85300,90900,83700,85200,6622637
2020-10-21,85300,86200,82800,83800,4925877
2020-10-22,84200,84300,82500,83300,2593975
2020-10-23,82800,84700,82300,83900,2609595
2020-10-26,84300,84700,83000,83200,1662847
2020-10-27,82300,83400,81800,82600,2265817
2020-10-28,82100,83600,82000,82900,1773556
2020-10-29,81900,82400,81000,81700,2637314
2020-10-30,81600,82100,79900,79900,2710477
2020-11-02,80200,80600,79200,79600,2000394
2020-11-03,79600,81400,79600,81400,2057723
2020-11-04,82100,84400,81200,83200,3782296
2020-11-05,84100,86200,83300,86100,4082325
2020-11-06,86500,87700,86000,86300,2863808
2020-11-09,86500,87300,85600,86000,2444330
2020-11-10,86900,87200,85900,86500,2849783
2020-11-11,86100,87200,85900,87000,2638617
2020-11-12,87600,88400,87000,88100,4006433
2020-11-13,88100,90000,87500,89700,3774278
2020-11-16,92100,98100,91100,98000,9274278
2020-11-17,97400,99600,96500,98100,5218295
2020-11-18,99800,100500,96600,98000,3734037
2020-11-19,96200,98300,96000,98200,2766688
2020-11-20,99000,99000,96800,96800,2424003
2020-11-23,97300,101000,96600,100000,4149013
2020-11-24,101000,102000,98300,98600,3766043
